gene_id	transcript_id	symbol	refseq_mane	ts_end	ts_start	chrom_ensembl	chrom_ucsc
ENSG00000186092	ENST00000641515	OR4F5	NM_001005484.2	71585	65419	1	chr1
ENSG00000284733	ENST00000426406	OR4F29	NM_001005221.2	451678	450740	1	chr1
ENSG00000284662	ENST00000332831	OR4F16	NM_001005277.1	686654	685716	1	chr1
ENSG00000187634	ENST00000616016	SAMD11	NM_001385641.1	944574	923923	1	chr1
ENSG00000188976	ENST00000327044	NOC2L	NM_015658.4	959256	944203	1	chr1
ENSG00000187961	ENST00000338591	KLHL17	NM_198317.3	965719	960584	1	chr1
ENSG00000187583	ENST00000379410	PLEKHN1	NM_032129.3	975865	966482	1	chr1
ENSG00000188290	ENST00000304952	HES4	NM_021170.4	1000097	998964	1	chr1
ENSG00000187608	ENST00000649529	ISG15	NM_005101.4	1014540	1013497	1	chr1
ENSG00000188157	ENST00000379370	AGRN	NM_198576.4	1056116	1020120	1	chr1
ENSG00000237330	ENST00000453464	RNF223	NM_001205252.2	1074306	1070967	1	chr1
ENSG00000131591	ENST00000421241	C1orf159	NM_017891.5	1116089	1081823	1	chr1
ENSG00000162571	ENST00000379289	TTLL10	NM_001130045.2	1197936	1173880	1	chr1
ENSG00000186891	ENST00000379268	TNFRSF18	NM_004195.3	1206592	1203508	1	chr1
ENSG00000186827	ENST00000379236	TNFRSF4	NM_003327.4	1214153	1211340	1	chr1
ENSG00000078808	ENST00000360001	SDF4	NM_016176.6	1232001	1216931	1	chr1
ENSG00000176022	ENST00000379198	B3GALT6	NM_080605.4	1235041	1232237	1	chr1
ENSG00000184163	ENST00000330388	C1QTNF12	NM_001014980.3	1246722	1242453	1	chr1
ENSG00000160087	ENST00000349431	UBE2J2	NM_058167.3	1273854	1253912	1	chr1
ENSG00000162572	ENST00000379116	SCNN1D	NM_001130413.4	1292025	1280436	1	chr1
ENSG00000131584	ENST00000354700	ACAP3	NM_030649.3	1307930	1292391	1	chr1
ENSG00000169972	ENST00000379031	PUSL1	NM_153339.3	1311677	1308597	1	chr1
ENSG00000127054	ENST00000435064	INTS11	NM_017871.6	1324660	1311600	1	chr1
ENSG00000224051	ENST00000343938	CPTP	NM_001029885.2	1328896	1324802	1	chr1
ENSG00000169962	ENST00000339381	TAS1R3	NM_152228.3	1335314	1331280	1	chr1
ENSG00000107404	ENST00000378888	DVL1	NM_001330311.2	1349418	1335278	1	chr1
ENSG00000162576	ENST00000309212	MXRA8	NM_032348.4	1358555	1352691	1	chr1
ENSG00000175756	ENST00000338338	AURKAIP1	NM_017900.3	1375207	1373736	1	chr1
ENSG00000221978	ENST00000400809	CCNL2	NM_030937.6	1399335	1385711	1	chr1
ENSG00000242485	ENST00000344843	MRPL20	NM_017971.4	1407293	1401909	1	chr1
ENSG00000235098	ENST00000537107	ANKRD65	NM_001145210.3	1421276	1418420	1	chr1
ENSG00000205116	ENST00000378821	TMEM88B	NM_001146685.2	1430255	1425871	1	chr1
